dataset,Country,TaxFamily
SRR3137013,CHE,Formicidae
SRR3137014,CHE,Formicidae
SRR3137133,CHE,Formicidae
SRR3137613,CHE,Formicidae
SRR3137614,CHE,Formicidae
SRR3137620,CHE,Formicidae
SRR3137621,CHE,Formicidae
SRR3138096,CHE,Formicidae
SRR3138109,CHE,Formicidae
SRR3138111,CHE,Formicidae
SRR3138124,CHE,Formicidae
SRR3138153,CHE,Formicidae
SRR3138154,CHE,Formicidae
SRR3138155,CHE,Formicidae
SRR3138157,CHE,Formicidae
SRR3138158,CHE,Formicidae
SRR3138159,CHE,Formicidae
SRR3138161,CHE,Formicidae
SRR3138284,CHE,Formicidae
SRR3138398,CHE,Formicidae
SRR3138419,CHE,Formicidae
SRR3138448,CHE,Formicidae
SRR3138460,CHE,Formicidae
SRR3138461,CHE,Formicidae
SRR3138490,CHE,Formicidae
SRR3138497,CHE,Formicidae
SRR3138502,CHE,Formicidae
SRR3138503,CHE,Formicidae
SRR3141242,CHE,Formicidae
SRR3141276,CHE,Formicidae
SRR3141280,CHE,Formicidae
SRR3141292,CHE,Formicidae
SRR3141464,CHE,Formicidae
SRR3141494,CHE,Formicidae
SRR3141499,CHE,Formicidae
SRR3144549,CHN,Apidae
SRR3144556,CHN,Apidae
SRR3144557,CHN,Apidae
SRR3144558,CHN,Apidae
SRR3144561,CHN,Apidae
SRR3144562,CHN,Apidae
SRR3144564,CHN,Apidae
SRR3144566,CHN,Apidae
SRR3154957,BRA,Formicidae
SRR3155197,BRA,Formicidae
SRR3155344,BRA,Formicidae
SRR3155345,BRA,Formicidae
SRR3155385,BRA,Formicidae
SRR3155549,BRA,Formicidae
SRR3155724,BRA,Formicidae
SRR3155866,BRA,Formicidae
SRR3155867,BRA,Formicidae
SRR3155892,BRA,Formicidae
SRR3155915,BRA,Formicidae
SRR3156029,BRA,Formicidae
SRR3156031,BRA,Formicidae
SRR3156032,BRA,Formicidae
SRR3156033,BRA,Formicidae
SRR3156035,BRA,Formicidae
SRR3156036,BRA,Formicidae
SRR3156037,BRA,Formicidae
SRR3156039,BRA,Formicidae
SRR3156041,BRA,Formicidae
SRR3156043,BRA,Formicidae
SRR3156045,BRA,Formicidae
SRR3156046,BRA,Formicidae
SRR3156047,BRA,Formicidae
SRR3156048,BRA,Formicidae
SRR3156049,BRA,Formicidae
SRR329385,CHE,Apidae
SRR329386,CHE,Apidae
SRR329387,CHE,Apidae
SRR3438974,,Pteromalidae
SRR3439007,,Pteromalidae
SRR3439008,,Pteromalidae
SRR3457431,,Pteromalidae
SRR3457433,,Pteromalidae
SRR3457434,,Pteromalidae
SRR3457435,,Pteromalidae
SRR3457436,,Pteromalidae
SRR3457437,,Pteromalidae
SRR3457438,,Pteromalidae
SRR3457439,,Pteromalidae
SRR3457457,,Pteromalidae
SRR3547484,DEU,Apidae
SRR3547490,DEU,Apidae
SRR3547491,DEU,Apidae
SRR3547492,DEU,Apidae
SRR3547493,DEU,Apidae
SRR3547494,DEU,Apidae
SRR3569809,,Apidae
SRR3569811,,Apidae
SRR3569812,,Apidae
SRR3569813,,Apidae
SRR3657423,IND,Apidae
SRR3657424,IND,Apidae
SRR3657425,IND,Apidae
SRR3657426,IND,Apidae
SRR3675070,USA,Apidae
SRR3675077,USA,Apidae
SRR3717246,CHN,Braconidae
SRR3717412,CHN,Braconidae
SRR3717487,CHN,Braconidae
SRR3748958,,Pteromalidae
SRR3748959,,Pteromalidae
SRR3748960,,Pteromalidae
SRR3756972,IND,Trichogammatidae
SRR3756974,IND,Trichogammatidae
SRR3756975,IND,Trichogammatidae
SRR3756979,IND,Trichogammatidae
SRR3927497,ISR,Apidae
SRR3927501,ISR,Apidae
SRR3948523,PAN,Halictidae
SRR3948524,PAN,Halictidae
SRR3948528,PAN,Halictidae
SRR3948530,PAN,Halictidae
SRR3948531,PAN,Halictidae
SRR3948533,PAN,Halictidae
SRR3948536,PAN,Halictidae
SRR3948537,PAN,Halictidae
SRR3948538,PAN,Halictidae
SRR3948540,PAN,Halictidae
SRR3948541,PAN,Halictidae
SRR3948542,PAN,Halictidae
SRR3948544,PAN,Halictidae
SRR3948546,PAN,Halictidae
SRR3948548,PAN,Halictidae
SRR3948550,PAN,Halictidae
SRR3948551,PAN,Halictidae
SRR3948553,PAN,Halictidae
SRR3948554,PAN,Halictidae
SRR3948556,PAN,Halictidae
SRR3948559,PAN,Halictidae
SRR3948560,PAN,Halictidae
SRR3948561,PAN,Halictidae
SRR3948563,PAN,Halictidae
SRR3948564,PAN,Halictidae
SRR3948565,PAN,Halictidae
SRR3948566,PAN,Halictidae
SRR3948568,PAN,Halictidae
SRR3948569,PAN,Halictidae
SRR3948570,PAN,Halictidae
SRR3948572,PAN,Halictidae
SRR3948574,PAN,Halictidae
SRR3948575,PAN,Halictidae
SRR3948576,PAN,Halictidae
SRR3948577,PAN,Halictidae
SRR3948578,PAN,Halictidae
SRR3948579,PAN,Halictidae
SRR3948581,PAN,Halictidae
SRR3993646,CHN,Braconidae
SRR4002869,BEL,Apidae
SRR4002870,BEL,Apidae
SRR4002871,BEL,Apidae
SRR4002872,BEL,Apidae
SRR4002873,BEL,Apidae
SRR4002874,BEL,Apidae
SRR4002875,BEL,Apidae
SRR4002876,BEL,Apidae
SRR4002877,BEL,Apidae
SRR4002878,BEL,Apidae
SRR4002881,BEL,Apidae
SRR4002890,BEL,Apidae
SRR4002891,BEL,Apidae
SRR4002892,BEL,Apidae
SRR4002893,BEL,Apidae
SRR4002894,BEL,Apidae
SRR4002895,BEL,Apidae
SRR4002896,BEL,Apidae
SRR4002897,BEL,Apidae
SRR4002898,BEL,Apidae
SRR4002899,BEL,Apidae
SRR4013500,CHN,Apidae
SRR4013514,CHN,Apidae
SRR4013515,CHN,Apidae
SRR4013516,CHN,Apidae
SRR4013517,CHN,Apidae
SRR4013518,CHN,Apidae
SRR4013519,CHN,Apidae
SRR4013520,CHN,Apidae
SRR4013521,CHN,Apidae
SRR4017751,USA,Apidae
SRR4017752,USA,Apidae
SRR4017753,USA,Apidae
SRR4017754,USA,Apidae
SRR4017755,USA,Apidae
SRR4017756,USA,Apidae
SRR4017757,USA,Apidae
SRR4017758,USA,Apidae
SRR4017759,USA,Apidae
SRR4017760,USA,Apidae
SRR4017761,USA,Apidae
SRR4017762,USA,Apidae
SRR4017763,USA,Apidae
SRR4017764,USA,Apidae
SRR4017765,USA,Apidae
SRR4017766,USA,Apidae
SRR4017767,USA,Apidae
SRR4017768,USA,Apidae
SRR4017769,USA,Apidae
SRR4017770,USA,Apidae
SRR4017771,USA,Apidae
SRR4017772,USA,Apidae
SRR4017773,USA,Apidae
SRR4017774,USA,Apidae
SRR4017775,USA,Apidae
SRR4017776,USA,Apidae
SRR4017777,USA,Apidae
SRR4017779,USA,Apidae
SRR4017780,USA,Apidae
SRR4017781,USA,Apidae
SRR4017782,USA,Apidae
SRR4017783,USA,Apidae
SRR4017784,USA,Apidae
SRR4017785,USA,Apidae
SRR4017786,USA,Apidae
SRR4017787,USA,Apidae
SRR4017788,USA,Apidae
SRR4017789,USA,Apidae
SRR4017790,USA,Apidae
SRR4017791,USA,Apidae
SRR4017792,USA,Apidae
SRR4017793,USA,Apidae
SRR4017794,USA,Apidae
SRR4017795,USA,Apidae
SRR4017796,USA,Apidae
SRR4017797,USA,Apidae
SRR4017798,USA,Apidae
SRR4034898,CHN,Eupelmidae
SRR4041814,ISR,Formicidae
SRR4041816,ISR,Formicidae
SRR4045687,USA,Apidae
SRR4045688,USA,Apidae
SRR4045689,USA,Apidae
SRR4045695,USA,Apidae
SRR4045713,USA,Apidae
SRR4045715,USA,Apidae
SRR4045716,USA,Apidae
SRR4045726,USA,Apidae
SRR4045744,USA,Apidae
SRR4045745,USA,Apidae
SRR4045746,USA,Apidae
SRR4045748,USA,Apidae
SRR4045754,USA,Apidae
SRR4045764,USA,Apidae
SRR4045771,USA,Apidae
SRR4045778,USA,Apidae
SRR4045779,USA,Apidae
SRR4045804,USA,Apidae
SRR4045809,USA,Apidae
SRR4045818,USA,Apidae
SRR4045820,USA,Apidae
SRR4045830,USA,Apidae
SRR4045837,USA,Apidae
SRR4045838,USA,Apidae
SRR4045839,USA,Apidae
SRR4045850,USA,Apidae
SRR4045855,USA,Apidae
SRR4045859,USA,Apidae
SRR4063653,CHN,Apidae
SRR4084087,CHN,Apidae
SRR4084090,CHN,Apidae
SRR4096528,,Apidae
SRR4250143,USA,Apidae
SRR4250145,USA,Apidae
SRR4250149,USA,Apidae
SRR4250152,USA,Apidae
SRR4250158,USA,Apidae
SRR4250161,USA,Apidae
SRR4250164,USA,Apidae
SRR4250166,USA,Apidae
SRR4250169,USA,Apidae
SRR4250170,USA,Apidae
SRR4250171,USA,Apidae
SRR4250172,USA,Apidae
SRR4250173,USA,Apidae
SRR4250175,USA,Apidae
SRR4250176,USA,Apidae
SRR4250177,USA,Apidae
SRR4250178,USA,Apidae
SRR4292728,CHE,Apidae
SRR4292732,CHE,Apidae
SRR4292907,FRA,Formicidae
SRR4292916,GRC,Formicidae
SRR4292922,ESP,Formicidae
SRR4292924,FRA,Formicidae
SRR4292925,FRA,Formicidae
SRR4298768,USA,Cephidae
SRR4298774,USA,Cephidae
SRR4298846,USA,Cephidae
SRR4298847,USA,Cephidae
SRR4298848,USA,Cephidae
SRR4298849,USA,Cephidae
SRR4298850,USA,Cephidae
SRR4298855,USA,Cephidae
SRR4301484,USA,Vespidae
SRR4301485,USA,Vespidae
SRR4301486,USA,Vespidae
SRR4301487,SVN,Vespidae
SRR4301488,USA,Vespidae
SRR4343847,DEU,Apidae
SRR4343848,DEU,Apidae
SRR445999,USA,Apidae
SRR446000,USA,Apidae
SRR446001,USA,Apidae
SRR446002,USA,Apidae
SRR446003,USA,Apidae
SRR446004,USA,Apidae
SRR446005,USA,Apidae
SRR446006,USA,Apidae
SRR446007,USA,Apidae
SRR446008,USA,Apidae
SRR446009,USA,Apidae
SRR446010,USA,Apidae
SRR499808,USA,Apidae
SRR499883,USA,Apidae
SRR499920,USA,Apidae
SRR499994,USA,Apidae
SRR5007208,AUT,Formicidae
SRR5007267,AUT,Formicidae
SRR5026687,CAN,Megachilidae
SRR5026688,CAN,Megachilidae
SRR5026689,CAN,Megachilidae
SRR5026690,CAN,Megachilidae
SRR5026691,CAN,Megachilidae
SRR5026692,CAN,Megachilidae
SRR5109820,ZAF,Apidae
SRR5109821,TON,Apidae
SRR5109822,TON,Apidae
SRR5109823,NLD,Apidae
SRR5109826,ZAF,Apidae
SRR5109828,TON,Apidae
SRR5109829,NLD,Apidae
SRR5109831,ZAF,Apidae
SRR5109832,ZAF,Apidae
SRR5109833,ZAF,Apidae
SRR5109834,TON,Apidae
SRR5116303,USA,Apidae
SRR5116304,USA,Apidae
SRR5116305,USA,Apidae
SRR5116306,USA,Apidae
SRR5116307,USA,Apidae
SRR5116308,USA,Apidae
SRR5117442,AUS,Apidae
SRR5117443,AUS,Apidae
SRR5117444,AUS,Apidae
SRR5117445,AUS,Apidae
SRR5117446,AUS,Apidae
SRR5117447,AUS,Apidae
SRR5117448,AUS,Apidae
SRR5117449,AUS,Apidae
SRR5117450,AUS,Apidae
SRR5125131,NLD,Apidae
SRR5136448,CHN,Apidae
SRR5136449,CHN,Apidae
SRR5136450,CHN,Apidae
SRR5136451,CHN,Apidae
SRR5136452,CHN,Apidae
SRR5136453,CHN,Apidae
SRR5136454,CHN,Apidae
SRR5136455,CHN,Apidae
SRR5136456,CHN,Apidae
SRR5136457,CHN,Apidae
SRR5136458,CHN,Apidae
SRR5136459,CHN,Apidae
SRR5177960,CHN,Braconidae
SRR5177962,CHN,Braconidae
SRR5177969,CHN,Braconidae
SRR5177973,CHN,Braconidae
SRR5193618,CHE,Formicidae
SRR5193623,CHE,Formicidae
SRR5193639,CHE,Formicidae
SRR5193640,CHE,Formicidae
SRR5194055,CHE,Formicidae
SRR5194056,CHE,Formicidae
SRR5194082,CHE,Formicidae
SRR5194083,CHE,Formicidae
SRR5194950,CHE,Formicidae
SRR5194951,CHE,Formicidae
SRR5252792,,Apidae
SRR5252793,,Apidae
SRR5252797,,Apidae
SRR5252798,,Apidae
SRR5252799,,Apidae
SRR5252800,,Apidae
SRR5252802,,Apidae
SRR5252803,,Apidae
SRR5252804,,Apidae
SRR5252805,,Apidae
SRR5252806,,Apidae
SRR5369853,CHN,Encyrtidae
SRR5381909,CHL,Braconidae
SRR5381910,CHL,Braconidae
SRR5381911,CHL,Braconidae
SRR5381912,CHL,Braconidae
SRR5381913,CHL,Braconidae
SRR5381914,CHL,Braconidae
SRR5383927,,Apidae
SRR5383937,,Apidae
SRR5383939,,Apidae
SRR5387735,,Apidae
SRR5387737,,Apidae
SRR5387738,,Apidae
SRR5468475,CHN,Apidae
SRR5468476,CHN,Apidae
SRR5468477,CHN,Apidae
SRR5468478,CHN,Apidae
SRR5468479,CHN,Apidae
SRR5468480,CHN,Apidae
SRR5468481,CHN,Apidae
SRR5468484,CHN,Apidae
SRR5468489,CHN,Apidae
SRR5468490,CHN,Apidae
SRR5468491,CHN,Apidae
SRR547522,USA,Apidae
SRR547523,GEO,Apidae
SRR5534311,KOR,Apidae
SRR5534312,KOR,Apidae
SRR5534313,KOR,Apidae
SRR5534314,KOR,Apidae
SRR559221,USA,Figitidae
SRR559222,USA,Figitidae
SRR559223,USA,Figitidae
SRR559224,USA,Figitidae
SRR5595941,CRI,Apidae
SRR5601830,,Apidae
SRR5601896,,Apidae
SRR5614374,GBR,Apidae
SRR5614825,GBR,Apidae
SRR5614826,GBR,Apidae
SRR5614828,GBR,Apidae
SRR5615342,USA,Apidae
SRR5615343,USA,Apidae
SRR5631338,CRI,Apidae
SRR5631339,CRI,Apidae
SRR5642360,CRI,Apidae
SRR5642361,CRI,Apidae
SRR566980,USA,Apidae
SRR567163,USA,Apidae
SRR567629,USA,Apidae
SRR567630,USA,Apidae
SRR567631,USA,Apidae
SRR567646,USA,Apidae
SRR567647,USA,Apidae
SRR567648,USA,Apidae
SRR567649,USA,Apidae
SRR5760506,GRC,Formicidae
SRR584147,USA,Apidae
SRR584156,USA,Apidae
SRR584160,USA,Apidae
SRR584163,USA,Apidae
SRR584169,USA,Apidae
SRR584172,USA,Apidae
SRR584177,USA,Apidae
SRR584184,USA,Apidae
SRR584187,USA,Apidae
SRR584189,USA,Apidae
SRR584192,USA,Apidae
SRR585833,USA,Apidae
SRR5868358,USA,Formicidae
SRR5868359,USA,Formicidae
SRR5868360,USA,Formicidae
SRR5868363,USA,Formicidae
SRR5885339,CHN,Braconidae
SRR5885340,CHN,Braconidae
SRR5885341,CHN,Braconidae
SRR5885434,CHN,Braconidae
SRR5885441,CHN,Braconidae
SRR5885442,CHN,Braconidae
SRR5885443,CHN,Braconidae
SRR5885444,CHN,Braconidae
SRR5885445,CHN,Braconidae
SRR5907690,AUS,Apidae
SRR5907691,AUS,Apidae
SRR5907693,AUS,Apidae
SRR5907694,AUS,Apidae
SRR5907695,AUS,Apidae
SRR5907696,AUS,Apidae
SRR5907697,NZL,Apidae
SRR5907698,AUS,Apidae
SRR5907699,AUS,Apidae
SRR5907700,AUS,Apidae
SRR5907701,AUS,Apidae
SRR5907702,AUS,Apidae
SRR5907703,AUS,Apidae
SRR5907704,AUS,Apidae
SRR5909307,IND,Formicidae
SRR5931472,,Formicidae
SRR5931485,,Formicidae
SRR5931492,,Formicidae
SRR6001380,CHN,Eulophidae
SRR6031640,CHN,Apidae
SRR6031641,CHN,Apidae
SRR6031642,CHN,Apidae
SRR6031643,CHN,Apidae
SRR6031644,CHN,Apidae
SRR6031645,CHN,Apidae
SRR6031646,CHN,Apidae
SRR6031647,CHN,Apidae
SRR6031648,CHN,Apidae
SRR6031649,CHN,Apidae
SRR6031650,CHN,Apidae
SRR6031651,CHN,Apidae
SRR6047308,CHN,Apidae
SRR6047309,CHN,Apidae
SRR6047311,CHN,Apidae
SRR6047312,CHN,Apidae
SRR6047313,CHN,Apidae
SRR6047315,CHN,Apidae
SRR6047316,CHN,Apidae
SRR6047317,CHN,Apidae
SRR6109666,CHN,Trichogammatidae
SRR6130223,IND,Trichogammatidae
SRR6148378,BEL,Apidae
SRR6279904,NLD,Pteromalidae
SRR6279905,NLD,Pteromalidae
SRR6279906,NLD,Pteromalidae
SRR6279908,NLD,Pteromalidae
SRR6279909,NLD,Pteromalidae
SRR6279910,NLD,Pteromalidae
SRR6279911,NLD,Pteromalidae
SRR634130,USA,Apidae
SRR6370988,CHN,Apidae
SRR6456303,CIV,Figitidae
SRR6456304,CIV,Figitidae
SRR6456305,CIV,Figitidae
SRR6456309,ITA,Figitidae
SRR6456310,ITA,Figitidae
SRR6456312,ITA,Figitidae
SRR6456322,FRA,Figitidae
SRR6470141,USA,Eulophidae
SRR6505206,CHN,Apidae
SRR6505209,CHN,Apidae
SRR6505211,CHN,Apidae
SRR6505782,CHN,Apidae
SRR6505783,CHN,Apidae
SRR6505784,CHN,Apidae
SRR6505785,CHN,Apidae
SRR6506058,CHN,Apidae
SRR6506157,CHN,Apidae
SRR653282,ITA,Megachilidae
SRR653284,ITA,Megachilidae
SRR653285,ITA,Megachilidae
SRR653290,ITA,Megachilidae
SRR653291,ITA,Megachilidae
SRR653296,ITA,Megachilidae
SRR653297,ITA,Megachilidae
SRR6713988,CHN,Braconidae
SRR6780155,USA,Vespidae
SRR6788724,USA,Pteromalidae
SRR6788725,USA,Pteromalidae
SRR6788726,USA,Pteromalidae
SRR6788727,USA,Pteromalidae
SRR6788728,USA,Pteromalidae
SRR6788729,USA,Pteromalidae
SRR6788730,USA,Pteromalidae
SRR6788731,USA,Pteromalidae
SRR6788732,USA,Pteromalidae
SRR6788733,USA,Pteromalidae
SRR6788734,USA,Pteromalidae
SRR6788735,USA,Pteromalidae
SRR6788736,USA,Pteromalidae
SRR6788737,USA,Pteromalidae
SRR6788738,USA,Pteromalidae
SRR6788739,USA,Pteromalidae
SRR6788740,USA,Pteromalidae
SRR6788741,USA,Pteromalidae
SRR6788742,USA,Pteromalidae
SRR6788743,USA,Pteromalidae
SRR6806684,USA,Formicidae
SRR6806687,USA,Formicidae
SRR6806689,USA,Formicidae
SRR6806691,USA,Formicidae
SRR6806695,USA,Formicidae
SRR6806700,USA,Formicidae
SRR6806701,USA,Formicidae
SRR6806702,USA,Formicidae
SRR6806704,USA,Formicidae
SRR6806706,USA,Formicidae
SRR6806708,USA,Formicidae
SRR6806710,USA,Formicidae
SRR6806712,USA,Formicidae
SRR6806714,USA,Formicidae
SRR6819907,USA,Apidae
SRR6819908,USA,Apidae
SRR6819909,USA,Apidae
SRR6819910,USA,Apidae
SRR6819911,USA,Apidae
SRR6819912,USA,Apidae
SRR6823683,SYR,Apidae
SRR6823685,DZA,Apidae
SRR6833955,ZAF,Apidae
SRR6833956,ZAF,Apidae
SRR6833957,ZAF,Apidae
SRR6833958,ZAF,Apidae
SRR6833959,ZAF,Apidae
SRR6833960,ZAF,Apidae
SRR6833961,ZAF,Apidae
SRR6833962,ZAF,Apidae
SRR6833963,ZAF,Apidae
SRR6833964,ZAF,Apidae
SRR6833965,ZAF,Apidae
SRR6833966,ZAF,Apidae
SRR6901841,USA,Apidae
SRR6901842,USA,Apidae
SRR6901843,USA,Apidae
SRR6901844,USA,Apidae
SRR6901847,USA,Apidae
SRR6901848,USA,Apidae
SRR6901850,USA,Apidae
SRR6901851,USA,Apidae
SRR6901852,USA,Apidae
SRR6901854,USA,Apidae
SRR6901855,USA,Apidae
SRR6901856,USA,Apidae
SRR6901857,USA,Apidae
SRR6901858,USA,Apidae
SRR6901859,USA,Apidae
SRR6901860,USA,Apidae
SRR6901861,USA,Apidae
SRR6901862,USA,Apidae
SRR6901863,USA,Apidae
SRR6901864,USA,Apidae
SRR7192225,USA,Formicidae
SRR7192228,USA,Formicidae
SRR7192229,USA,Formicidae
SRR7192230,USA,Formicidae
SRR7192231,USA,Formicidae
SRR7192232,USA,Formicidae
SRR7192233,USA,Formicidae
SRR7192234,USA,Formicidae
SRR7192235,USA,Formicidae
SRR7192236,USA,Formicidae
SRR7192237,USA,Formicidae
SRR7192238,USA,Formicidae
SRR7192239,USA,Formicidae
SRR7192240,USA,Formicidae
SRR7192241,USA,Formicidae
SRR7192242,USA,Formicidae
SRR7192243,USA,Formicidae
SRR7192244,USA,Formicidae
SRR765681,USA,Apidae
SRR770031,KOR,Braconidae
SRR789759,,Apidae
SRR789762,,Apidae
SRR789764,,Apidae
SRR801788,USA,Apidae
SRR801844,USA,Apidae
SRR802386,USA,Apidae
SRR802538,USA,Apidae
SRR802556,USA,Apidae
SRR805500,USA,Hymenoptera
SRR805628,USA,Hymenoptera
SRR806508,USA,Apidae
SRR806550,USA,Apidae
SRR806693,USA,Apidae
SRR806701,USA,Apidae
SRR806709,USA,Apidae
SRR806711,USA,Apidae
SRR807359,USA,Vespidae
SRR867005,USA,Siricidae
SRR893037,USA,Apidae
SRR893038,USA,Apidae
SRR922440,,Apidae
SRR935172,USA,Apidae
SRR935173,USA,Apidae
SRR935174,USA,Apidae
SRR935175,USA,Apidae
SRR935176,USA,Apidae
SRR935177,USA,Apidae
SRR935178,USA,Apidae
SRR935179,USA,Apidae
SRR935180,USA,Apidae
SRR955015,,Braconidae
SRR955374,,Braconidae
SRR974922,,Agaonidae
SRR974923,,Agaonidae
SRR989674,,Apidae
SRR989676,,Apidae
